model,task_type,average_error_rate
Almawave/Velvet-14B,macid_onlyfewshot_coppie,0.0
Almawave/Velvet-14B,macid_onlyfewshot_quadruple,0.0
Almawave/Velvet-14B,macid_prompt_0_coppie_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_0_coppie_zeroshot,0.0
Almawave/Velvet-14B,macid_prompt_0_quadruple_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_0_quadruple_zeroshot,0.0
Almawave/Velvet-14B,macid_prompt_1_coppie_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_1_coppie_zeroshot,0.0
Almawave/Velvet-14B,macid_prompt_1_quadruple_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_1_quadruple_zeroshot,0.0
Almawave/Velvet-14B,macid_prompt_2_coppie_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_2_coppie_zeroshot,0.0
Almawave/Velvet-14B,macid_prompt_2_quadruple_fewshot,0.0
Almawave/Velvet-14B,macid_prompt_2_quadruple_zeroshot,0.0
CohereLabs/aya-expanse-8b,macid_onlyfewshot_coppie,0.0
CohereLabs/aya-expanse-8b,macid_onlyfewshot_quadruple,0.0
CohereLabs/aya-expanse-8b,macid_prompt_0_coppie_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_0_coppie_zeroshot,0.7140350877192982
CohereLabs/aya-expanse-8b,macid_prompt_0_quadruple_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_0_quadruple_zeroshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_1_coppie_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_1_coppie_zeroshot,0.787719298245614
CohereLabs/aya-expanse-8b,macid_prompt_1_quadruple_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_1_quadruple_zeroshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_2_coppie_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_2_coppie_zeroshot,1.0
CohereLabs/aya-expanse-8b,macid_prompt_2_quadruple_fewshot,0.0
CohereLabs/aya-expanse-8b,macid_prompt_2_quadruple_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_onlyfewshot_coppie,0.0
Qwen/Qwen2.5-7B-Instruct,macid_onlyfewshot_quadruple,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_0_coppie_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_0_coppie_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_0_quadruple_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_0_quadruple_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_1_coppie_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_1_coppie_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_1_quadruple_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_1_quadruple_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_2_coppie_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_2_coppie_zeroshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_2_quadruple_fewshot,0.0
Qwen/Qwen2.5-7B-Instruct,macid_prompt_2_quadruple_zeroshot,0.0
google/gemma-2-9b,macid_onlyfewshot_coppie,1.0
google/gemma-2-9b,macid_onlyfewshot_quadruple,0.0
google/gemma-2-9b,macid_prompt_0_coppie_fewshot,1.0
google/gemma-2-9b,macid_prompt_0_coppie_zeroshot,1.0
google/gemma-2-9b,macid_prompt_0_quadruple_fewshot,0.0
google/gemma-2-9b,macid_prompt_0_quadruple_zeroshot,0.0
google/gemma-2-9b,macid_prompt_1_coppie_fewshot,1.0
google/gemma-2-9b,macid_prompt_1_coppie_zeroshot,1.0
google/gemma-2-9b,macid_prompt_1_quadruple_fewshot,0.0
google/gemma-2-9b,macid_prompt_1_quadruple_zeroshot,0.0
google/gemma-2-9b,macid_prompt_2_coppie_fewshot,1.0
google/gemma-2-9b,macid_prompt_2_coppie_zeroshot,0.9964912280701754
google/gemma-2-9b,macid_prompt_2_quadruple_fewshot,0.0
google/gemma-2-9b,macid_prompt_2_quadruple_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_onlyfewshot_coppie,0.0
meta-llama/llama-3.1-8b-instruct,macid_onlyfewshot_quadruple,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_0_coppie_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_0_coppie_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_0_quadruple_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_0_quadruple_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_1_coppie_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_1_coppie_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_1_quadruple_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_1_quadruple_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_2_coppie_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_2_coppie_zeroshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_2_quadruple_fewshot,0.0
meta-llama/llama-3.1-8b-instruct,macid_prompt_2_quadruple_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_onlyfewshot_coppie,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_onlyfewshot_quadruple,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_0_coppie_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_0_coppie_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_0_quadruple_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_0_quadruple_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_1_coppie_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_1_coppie_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_1_quadruple_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_1_quadruple_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_2_coppie_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_2_coppie_zeroshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_2_quadruple_fewshot,0.0
mistralai/Mistral-7B-Instruct-v0.3,macid_prompt_2_quadruple_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_onlyfewshot_coppie,0.0
qwen/qwen-2.5-72b-instruct,macid_onlyfewshot_quadruple,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_0_coppie_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_0_coppie_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_0_quadruple_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_0_quadruple_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_1_coppie_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_1_coppie_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_1_quadruple_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_1_quadruple_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_2_coppie_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_2_coppie_zeroshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_2_quadruple_fewshot,0.0
qwen/qwen-2.5-72b-instruct,macid_prompt_2_quadruple_zeroshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_onlyfewshot_coppie,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_onlyfewshot_quadruple,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_0_coppie_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_0_coppie_zeroshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_0_quadruple_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_0_quadruple_zeroshot,0.9894736842105263
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_1_coppie_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_1_coppie_zeroshot,0.02280701754385965
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_1_quadruple_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_1_quadruple_zeroshot,0.9894736842105263
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_2_coppie_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_2_coppie_zeroshot,0.8421052631578947
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_2_quadruple_fewshot,0.0
sapienzanlp/Minerva-7B-instruct-v1.0,macid_prompt_2_quadruple_zeroshot,0.9894736842105263
